"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2015-16",20160427,"LAC",98,30,66,6,20,20,30,8,37,20,8,10,3,24,"POR",108,25,49,12,34,22,34,9,44,22,8,9,4,23
"2015-16",20160427,"MIA",88,29,63,5,18,15,19,6,44,17,7,14,6,16,"CHA",90,21,60,12,24,12,15,5,36,21,8,12,3,14
"2015-16",20160428,"BOS",92,27,62,7,32,17,18,10,33,16,5,12,4,29,"ATL",104,30,50,8,24,20,27,3,39,26,6,18,12,23
"2015-16",20160429,"CHA",90,27,59,5,17,21,25,5,26,12,8,9,5,17,"MIA",97,30,67,8,16,13,15,11,35,14,4,12,10,24
"2015-16",20160429,"IND",101,27,54,8,22,23,26,12,32,21,12,14,7,25,"TOR",83,20,50,9,29,16,25,15,25,14,9,16,5,23
"2015-16",20160429,"POR",106,24,54,14,32,16,24,18,28,21,4,12,2,23,"LAC",103,35,71,4,16,21,31,16,30,15,8,8,1,24
"2015-16",20160430,"SAS",124,42,69,9,15,13,18,5,38,39,5,8,10,16,"OKC",92,29,62,6,23,16,21,11,27,23,6,10,2,13
"2015-16",20160501,"GSW",118,32,60,11,31,21,24,16,39,27,8,12,8,22,"POR",106,29,66,10,31,18,21,10,30,26,7,9,6,19
"2015-16",20160501,"MIA",106,34,65,9,24,11,16,10,48,24,2,9,8,16,"CHA",73,20,62,7,22,12,12,3,33,14,4,7,1,14
"2015-16",20160501,"TOR",89,26,65,8,24,13,17,18,31,21,7,8,7,12,"IND",84,25,54,9,19,7,8,5,33,12,5,13,5,17
"2015-16",20160502,"CLE",104,22,52,15,31,15,21,10,34,27,9,8,7,20,"ATL",93,22,53,11,34,16,21,15,33,21,6,12,7,22
"2015-16",20160502,"SAS",97,34,71,6,23,11,13,9,28,19,10,10,6,16,"OKC",98,33,60,5,19,17,21,9,39,16,8,18,8,19
"2015-16",20160503,"GSW",110,34,67,8,24,18,20,10,38,21,4,10,9,23,"POR",99,23,51,13,30,14,21,6,33,22,5,17,5,25
"2015-16",20160503,"TOR",96,35,68,5,21,11,15,4,37,19,10,15,6,25,"MIA",102,32,78,8,11,14,21,11,41,12,12,17,4,17
"2015-16",20160504,"CLE",123,16,42,25,45,16,23,12,31,27,8,8,1,22,"ATL",98,19,44,11,27,27,30,8,32,18,3,16,3,23
"2015-16",20160505,"TOR",96,35,75,4,18,14,26,13,26,14,15,9,1,21,"MIA",92,34,65,5,14,9,13,9,36,14,6,21,7,21
"2015-16",20160506,"ATL",108,25,50,16,34,10,12,6,22,29,8,14,7,21,"CLE",121,21,46,21,39,16,27,18,37,26,9,18,1,21
"2015-16",20160506,"OKC",96,24,52,10,30,18,20,11,31,14,5,14,5,23,"SAS",100,23,57,10,19,24,34,4,33,19,8,8,6,19
"2015-16",20160507,"MIA",91,29,59,4,18,21,24,8,30,11,8,9,2,24,"TOR",95,25,52,8,18,21,28,6,29,16,5,13,0,22
"2015-16",20160507,"POR",120,23,56,17,30,23,29,11,30,19,5,10,4,19,"GSW",108,28,59,14,29,10,17,11,31,29,4,12,6,20
"2015-16",20160508,"ATL",99,31,52,9,31,10,14,9,33,22,10,12,7,16,"CLE",100,22,51,16,37,8,13,14,27,23,6,15,7,14
"2015-16",20160508,"OKC",111,31,56,9,23,22,29,10,30,23,6,12,3,18,"SAS",97,38,73,2,12,15,16,9,25,12,11,12,2,21
"2015-16",20160509,"MIA",94,35,65,1,15,21,25,6,33,15,9,11,5,15,"TOR",87,27,64,6,20,15,19,7,32,12,7,14,2,23
"2015-16",20160509,"POR",125,28,67,15,39,24,33,18,34,22,8,18,3,29,"GSW",132,27,55,17,40,27,33,10,39,22,13,14,10,27
"2015-16",20160510,"SAS",91,27,70,8,18,13,17,10,26,19,11,7,6,19,"OKC",95,27,58,7,20,20,26,15,39,18,6,20,6,22
"2015-16",20160511,"GSW",125,29,52,14,32,25,29,9,35,28,5,16,4,25,"POR",121,22,56,16,36,29,39,13,34,20,9,10,4,23
"2015-16",20160511,"TOR",99,28,64,7,17,22,26,11,28,16,10,9,7,20,"MIA",91,25,56,6,21,23,28,13,31,12,4,13,2,22
"2015-16",20160512,"OKC",113,34,63,6,22,27,31,14,36,21,7,10,7,18,"SAS",99,34,76,6,17,13,16,10,30,19,7,10,3,21
"2015-16",20160513,"MIA",103,33,63,7,21,16,20,7,34,15,2,7,6,18,"TOR",91,30,66,4,16,19,25,8,35,10,4,8,4,18
"2015-16",20160515,"TOR",116,30,65,9,20,29,43,20,30,17,8,9,4,23,"MIA",89,25,47,7,25,18,23,7,23,16,6,13,7,29
"2015-16",20160516,"GSW",102,29,61,11,30,11,17,8,36,26,8,14,4,22,"OKC",108,31,72,8,17,22,32,10,42,22,12,11,6,15
"2015-16",20160517,"CLE",115,34,54,7,20,26,33,10,35,22,9,16,4,20,"TOR",84,27,52,5,24,15,20,4,19,19,8,14,1,25
"2015-16",20160518,"GSW",118,30,57,13,28,19,28,15,30,26,9,12,3,21,"OKC",91,28,55,7,23,14,19,7,29,22,9,15,4,22
"2015-16",20160519,"CLE",108,31,55,7,21,25,37,7,39,24,5,9,2,16,"TOR",89,24,49,9,33,14,18,7,31,17,6,12,4,31
"2015-16",20160521,"TOR",99,26,52,12,31,11,13,12,42,15,1,9,4,17,"CLE",84,14,38,14,41,14,16,8,32,15,7,9,5,10
"2015-16",20160522,"OKC",133,38,67,8,25,33,37,11,41,21,6,12,8,23,"GSW",105,28,60,10,32,19,25,10,28,19,9,13,1,21
"2015-16",20160523,"TOR",105,35,56,7,22,14,19,9,26,17,8,8,3,16,"CLE",99,26,42,13,41,8,9,10,28,23,5,10,2,17
"2015-16",20160524,"OKC",118,30,64,9,26,31,40,16,40,23,16,17,8,22,"GSW",94,24,50,9,30,19,29,8,32,15,11,21,4,26
"2015-16",20160525,"CLE",116,34,56,10,21,18,24,10,38,23,11,16,6,26,"TOR",78,24,52,3,17,21,35,5,22,19,9,18,3,25
"2015-16",20160526,"GSW",120,31,61,9,24,31,34,11,34,25,13,15,7,18,"OKC",111,26,61,13,30,20,24,13,32,23,8,17,2,26
"2015-16",20160527,"TOR",87,25,54,8,25,13,17,7,26,10,6,12,2,19,"CLE",113,23,43,17,31,16,21,4,34,22,6,10,6,18
"2015-16",20160528,"OKC",101,35,67,3,23,22,32,16,33,16,9,15,10,22,"GSW",108,15,43,21,45,15,24,13,31,23,11,14,4,25
"2015-16",20160530,"GSW",96,20,48,17,37,5,8,10,36,20,4,11,4,16,"OKC",88,27,62,7,27,13,17,14,33,20,3,7,5,11
"2015-16",20160602,"GSW",104,34,60,9,27,9,10,9,32,29,9,9,4,16,"CLE",89,25,63,7,21,18,20,15,32,17,7,15,4,17
"2015-16",20160605,"GSW",110,29,48,15,33,7,10,12,34,26,7,20,9,20,"CLE",77,23,56,5,23,16,24,9,25,15,15,17,3,19
"2015-16",20160608,"CLE",120,36,66,12,25,12,17,17,35,23,8,13,3,25,"GSW",90,23,43,9,33,17,26,8,24,21,5,18,4,23
"2015-16",20160610,"CLE",97,32,56,6,25,15,26,16,24,15,5,11,6,24,"GSW",108,16,45,17,36,25,31,14,29,23,7,8,6,22
"2015-16",20160613,"GSW",97,18,45,14,43,19,26,13,30,18,6,17,9,21,"CLE",112,34,59,10,24,14,23,8,33,15,11,16,9,22
"2015-16",20160616,"CLE",115,30,50,10,27,25,32,8,37,24,12,10,7,25,"GSW",101,18,43,15,39,20,29,9,26,19,5,14,3,25
